word,code,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015,s016,s017,s018,s019,s020,s021,s022,s023,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,mean_rt
don't,20082,,138.82,314.6,244.01,304.55,354.01,,,203.54,,172.59,,,,140.45,,217.87,,,,,,261.34,,,,,,244.68,,,,239.43,171.03,419.33,244.73214285714300
remember,20083,,162.5,444.7,358.21,272.05,396.03,,,165.81,,161.64,,,,156.1,,222.76,,,,,,268.87,,,,,,214.89,,,,249.65,152.06,274.62,249.99214285714300
altering,20084,,164.85,414.59,288.28,407.56,342.05,,,130.75,,307.99,,,,174.47,,222.33,,,,,,380.37,,,,,,323.82,,,,374.55,706.36,244.76,320.195
any,20085,,263.14,363.22,397.04,388.19,317.38,,,167.89,,379.42,,,,243.45,,221.91,,,,,,251.68,,,,,,509.92,,,,307.24,177.22,598.95,327.61785714285700
law,20086,,230.7,341.25,279.02,355.49,311.54,,,140.83,,208.09,,,,293.65,,221.52,,,,,,248.58,,,,,,301.04,,,,274.67,198.18,376.65,270.08642857142900
about,20087,,190.27,348.64,297.22,349.52,326.99,,,116.5,,189.01,,,,154.5,,229.11,,,,,,269.47,,,,,,276.46,,,,268.84,200.51,301.34,251.3128571428570
"that.""",20088,,165.94,356.02,533.98,340.91,619.72,,,254.92,,516.62,,,,220.83,,236.62,,,,,,300.95,,,,,,262.61,,,,284.36,170.75,284.8,324.93071428571400
He,20089,,162.5,349.52,377.98,403.38,292.81,,,174.07,,237.99,,,,243.66,,198.41,,,,,,259.9,,,,,,285.68,,,,277.97,162.12,374.28,271.4478571428570
straightened,20090,,180.88,588.92,398.61,989.36,289.6,,,163.06,,232.24,,,,221.88,,216.75,,,,,,267.41,,,,,,287.83,,,,256.17,148.43,522.95,340.2921428571430
"up,",20091,,396.46,651.89,360.58,331.75,478.4,,,325.4,,250.42,,,,245.48,,213.61,,,,,,386.89,,,,,,500.67,,,,269.03,156.1,356.7,351.67
alert,20092,,158.44,360.15,314.67,624.5,304.26,,,143.46,,271.33,,,,183.64,,218.56,,,,,,242.24,,,,,,339.8,,,,268.57,230.47,366.79,287.63428571428600
now,20093,,144.77,386.2,588.77,295.48,303.7,,,471.19,,286.86,,,,239.27,,218.17,,,,,,324.49,,,,,,347.15,,,,316.02,182.06,408.83,322.35428571428600
as,20094,,184.47,353.56,267.79,292.26,303.16,,,270.42,,264.95,,,,225.48,,191.1,,,,,,230.58,,,,,,322.56,,,,262.13,141.7,317.4,259.1114285714290
the,20095,,192.19,243.61,275.25,273.09,342.61,,,277.87,,248.53,,,,305.05,,206.73,,,,,,246.14,,,,,,316.62,,,,277.64,253.34,279.49,267.01142857142900
buffalo,20096,,98.48,357.78,221.43,179.25,478.0,,,128.07,,253.35,,,,224.51,,219.65,,,,,,520.32,,,,,,270.76,,,,247.85,162.25,297.68,261.38428571428600
hunter,20097,,146.15,399.8,389.04,418.88,351.88,,,205.1,,210.19,,,,256.12,,203.22,,,,,,202.16,,,,,,358.22,,,,284.69,156.54,270.49,275.1771428571430
came,20098,,137.86,305.78,252.3,431.51,335.25,,,458.07,,223.12,,,,780.99,,285.49,,,,,,468.46,,,,,,288.31,,,,254.87,158.88,254.0,331.06357142857100
closer.,20099,,182.89,321.29,265.16,2006.76,251.98,,,302.59,,366.76,,,,267.72,,242.31,,,,,,179.65,,,,,,237.07,,,,315.68,121.28,266.84,380.57000000000000
"""Stay",20100,,176.87,317.49,261.6,394.86,296.21,,,218.93,,216.34,,,,192.02,,190.77,,,,,,261.3,,,,,,281.48,,,,277.28,197.98,228.56,250.83500000000000
right,20101,,389.9,439.6,333.05,396.81,316.97,,,399.79,,229.29,,,,215.64,,214.45,,,,,,340.78,,,,,,515.67,,,,271.5,176.28,268.12,321.9892857142860
here,20102,,333.18,417.51,281.86,342.77,1175.08,,,193.82,,220.86,,,,188.6,,403.37,,,,,,412.18,,,,,,285.46,,,,262.96,165.29,267.62,353.6114285714290
where,20103,,225.91,358.11,235.96,1390.22,1154.55,,,188.1,,228.41,,,,252.17,,197.29,,,,,,232.82,,,,,,303.54,,,,238.47,159.58,275.09,388.58714285714300
you,20104,,177.54,296.18,270.22,340.02,395.41,,,227.76,,235.96,,,,217.1,,239.58,,,,,,227.0,,,,,,335.05,,,,240.74,154.0,253.26,257.8442857142860
"are,",20105,,137.17,284.99,253.7,411.35,269.35,,,195.26,,214.24,,,,206.01,,233.85,,,,,,202.62,,,,,,291.74,,,,234.94,132.26,226.11,235.25642857142900
"kid,""",20106,,126.21,383.12,282.59,416.02,420.84,,,173.55,,179.13,,,,264.26,,236.01,,,,,,252.85,,,,,,272.61,,,,237.13,265.31,257.75,269.09857142857100
he,20107,,179.26,326.47,244.75,380.65,564.13,,,202.57,,232.13,,,,247.8,,190.28,,,,,,377.76,,,,,,624.05,,,,279.34,184.81,270.59,307.4707142857140
called.,20108,,170.85,371.2,302.95,515.94,397.83,,,204.88,,218.34,,,,244.68,,205.92,,,,,,462.44,,,,,,447.09,,,,257.56,256.49,294.1,310.73357142857100
"""I",20109,,146.18,335.41,277.89,436.37,255.35,,,161.44,,270.83,,,,294.53,,194.47,,,,,,205.09,,,,,,373.68,,,,253.94,164.99,247.79,258.42571428571400
don't,20110,,153.91,324.18,352.11,374.34,252.19,,,171.72,,230.34,,,,307.34,,204.76,,,,,,239.35,,,,,,314.4,,,,258.77,175.33,212.6,255.0957142857140
aim,20111,,172.21,374.26,303.44,283.0,273.1,,,176.74,,221.92,,,,282.76,,311.02,,,,,,209.55,,,,,,316.45,,,,255.66,140.32,217.58,252.715
to,20112,,145.22,290.9,270.95,341.13,243.26,,,109.73,,493.45,,,,268.92,,206.48,,,,,,214.53,,,,,,326.63,,,,260.53,140.01,230.51,253.0178571428570
have,20113,,152.94,287.74,262.4,372.51,285.46,,,181.51,,209.96,,,,156.4,,216.74,,,,,,227.48,,,,,,243.33,,,,244.02,131.66,238.02,229.2978571428570
minors,20114,,171.24,308.56,277.92,585.19,503.58,,,325.11,,198.88,,,,158.74,,213.63,,,,,,259.04,,,,,,357.53,,,,222.21,144.72,240.24,283.32785714285700
breathing,20115,,200.22,500.0,552.09,696.27,318.72,,,167.23,,193.2,,,,145.09,,202.62,,,,,,711.89,,,,,,303.57,,,,349.81,136.46,234.5,336.54785714285700
down,20116,,290.52,355.14,351.21,364.47,336.86,,,116.16,,187.5,,,,192.81,,1116.84,,,,,,254.73,,,,,,367.04,,,,237.16,237.46,228.72,331.18714285714300
my,20117,,231.37,301.19,278.55,350.5,557.56,,,118.56,,195.13,,,,203.09,,181.77,,,,,,459.61,,,,,,291.68,,,,247.41,271.73,276.27,283.17285714285700
neck,20118,,217.58,268.66,296.74,477.85,319.31,,,153.03,,197.4,,,,149.39,,149.39,,,,,,272.16,,,,,,320.49,,,,244.31,167.22,230.47,247.4285714285710
when,20119,,94.53,340.14,221.54,335.73,361.43,,,163.35,,167.69,,,,141.06,,301.09,,,,,,311.68,,,,,,306.58,,,,238.46,148.21,502.0,259.53500000000000
I'm,20120,,131.57,387.51,293.08,364.47,299.46,,,189.71,,180.66,,,,196.73,,204.55,,,,,,455.13,,,,,,362.08,,,,240.74,155.9,213.13,262.4800000000000
"a-drinking.""",20121,,144.62,506.82,441.95,1334.48,402.93,,,165.32,,172.25,,,,159.0,,190.81,,,,,,331.63,,,,,,620.13,,,,274.96,310.27,754.09,414.94714285714300
The,20122,,189.41,1710.25,288.51,342.38,278.64,,,169.79,,395.42,,,,195.33,,253.62,,,,,,279.17,,,,,,324.98,,,,273.37,215.71,317.15,373.8378571428570
stranger,20123,,181.02,683.56,429.3,373.76,344.79,,,342.76,,181.44,,,,197.6,,194.52,,,,,,209.31,,,,,,319.05,,,,291.49,172.57,335.3,304.0335714285710
ignored,20124,,116.62,397.09,268.61,778.47,488.24,,,246.2,,149.07,,,,223.89,,220.82,,,,,,974.25,,,,,,361.2,,,,256.32,241.6,236.0,354.17
him.,20125,,167.06,383.05,356.07,369.17,388.74,,,171.02,,316.71,,,,183.45,,188.39,,,,,,250.01,,,,,,259.26,,,,269.19,155.78,282.76,267.19000000000000
He,20126,,193.11,371.07,290.84,381.08,310.17,,,212.99,,713.12,,,,363.89,,187.64,,,,,,310.18,,,,,,268.81,,,,353.34,301.83,286.75,324.63
didn't,20127,,187.38,447.79,359.64,1460.41,285.6,,,177.99,,226.56,,,,197.87,,195.27,,,,,,341.62,,,,,,340.36,,,,219.41,141.31,395.56,355.48357142857100
stop,20128,,163.01,508.34,313.7,367.44,274.43,,,214.97,,186.15,,,,208.21,,205.55,,,,,,349.04,,,,,,275.73,,,,258.97,164.96,277.51,269.1435714285710
till,20129,,109.35,339.52,315.78,300.12,244.58,,,235.83,,169.77,,,,141.13,,199.79,,,,,,308.42,,,,,,309.87,,,,247.85,167.35,255.7,238.9328571428570
he,20130,,181.11,352.22,333.88,259.59,278.75,,,190.09,,182.75,,,,172.77,,194.1,,,,,,291.83,,,,,,293.32,,,,236.67,156.27,276.53,242.84857142857100
was,20131,,140.76,335.68,330.61,211.04,264.9,,,173.75,,158.4,,,,193.81,,196.35,,,,,,312.66,,,,,,274.13,,,,238.89,142.61,558.67,252.3042857142860
within,20132,,164.44,284.37,367.43,463.98,280.41,,,170.67,,184.74,,,,148.07,,206.71,,,,,,360.07,,,,,,292.27,,,,569.17,142.34,264.4,278.50500000000000
three,20133,,94.79,350.54,660.08,367.21,298.61,,,143.67,,160.41,,,,355.8,,195.56,,,,,,338.15,,,,,,273.11,,,,309.55,438.06,279.93,304.6764285714290
feet,20134,,155.86,357.88,370.94,387.93,287.41,,,111.39,,194.75,,,,189.82,,213.42,,,,,,462.88,,,,,,235.22,,,,252.95,191.98,250.08,261.60785714285700
of,20135,,110.23,295.97,303.63,371.19,316.18,,,119.11,,309.02,,,,172.06,,226.34,,,,,,222.05,,,,,,277.43,,,,257.84,191.61,206.98,241.40285714285700
Blue,20136,,173.99,284.74,279.08,303.87,286.34,,,113.55,,332.01,,,,193.1,,201.94,,,,,,229.67,,,,,,255.64,,,,222.66,159.18,259.93,235.4071428571430
Throat,20137,,98.97,414.91,337.29,463.32,293.17,,,201.01,,136.79,,,,275.32,,196.2,,,,,,357.22,,,,,,324.5,,,,254.28,129.54,363.42,274.71
and,20138,,146.69,475.55,557.97,341.4,258.02,,,307.31,,149.86,,,,229.51,,230.51,,,,,,351.27,,,,,,270.59,,,,355.17,310.63,301.47,306.1392857142860
by,20139,,162.43,309.41,287.74,308.81,249.5,,,138.73,,173.49,,,,213.04,,230.08,,,,,,366.7,,,,,,262.12,,,,245.2,174.06,284.9,243.30071428571400
that,20140,,172.72,521.48,294.65,252.2,254.39,,,90.4,,202.52,,,,185.97,,221.65,,,,,,328.72,,,,,,285.62,,,,239.37,155.05,279.02,248.84000000000000
time,20141,,217.4,331.21,227.44,233.1,219.26,,,143.51,,156.77,,,,201.65,,245.24,,,,,,245.44,,,,,,487.77,,,,329.57,157.37,265.18,247.20785714285700
the,20142,,126.35,376.01,323.02,312.7,242.86,,,335.24,,167.16,,,,195.9,,223.4,,,,,,298.33,,,,,,268.3,,,,238.34,167.76,496.75,269.43714285714300
gang,20143,,131.32,300.69,285.12,314.78,293.01,,,148.0,,156.09,,,,190.2,,191.02,,,,,,263.08,,,,,,291.75,,,,232.6,148.72,229.24,226.83000000000000
leader's,20144,,104.42,356.07,367.29,420.89,257.88,,,139.67,,158.44,,,,197.81,,214.67,,,,,,198.6,,,,,,280.58,,,,298.79,188.43,196.77,241.45071428571400
right,20145,,168.16,518.12,259.98,404.14,294.75,,,99.37,,152.81,,,,232.14,,219.58,,,,,,320.95,,,,,,258.78,,,,327.6,204.05,431.09,277.9657142857140
hand,20146,,165.15,343.9,467.48,422.14,283.54,,,171.08,,403.17,,,,194.36,,232.52,,,,,,283.02,,,,,,287.6,,,,300.34,294.3,270.35,294.21071428571400
was,20147,,146.11,471.37,274.69,349.37,245.7,,,152.11,,173.09,,,,292.59,,226.69,,,,,,293.12,,,,,,268.43,,,,251.76,259.15,245.88,260.7185714285710
on,20148,,81.89,294.56,252.8,300.77,250.51,,,151.8,,186.1,,,,217.42,,202.29,,,,,,305.93,,,,,,275.92,,,,280.68,152.02,208.08,225.76928571428600
the,20149,,132.25,283.34,217.71,348.22,287.38,,,127.53,,177.76,,,,278.32,,196.53,,,,,,281.43,,,,,,294.05,,,,226.78,170.32,189.0,229.33
butt,20150,,81.38,317.46,334.62,363.61,252.17,,,108.57,,174.74,,,,160.53,,182.81,,,,,,275.54,,,,,,258.91,,,,298.39,167.32,220.66,228.33642857142900
of,20151,,123.82,311.62,419.39,637.62,337.08,,,132.26,,315.76,,,,330.83,,190.5,,,,,,365.74,,,,,,287.79,,,,255.22,140.31,220.21,290.58214285714300
his,20152,,110.21,471.09,287.99,383.22,381.82,,,113.38,,333.79,,,,247.59,,214.12,,,,,,290.38,,,,,,300.55,,,,244.08,124.01,211.75,265.2842857142860
revolver.,20153,,181.98,438.22,452.75,2558.6,277.13,,,99.75,,202.58,,,,156.43,,203.05,,,,,,423.2,,,,,,292.0,,,,398.25,166.41,176.73,430.5057142857140
"""I'm",20154,,181.31,1244.65,382.21,337.93,435.78,,,114.83,,255.06,,,,238.23,,196.87,,,,,,355.36,,,,,,330.93,,,,247.72,259.08,226.15,343.2935714285710
Billy,20155,,132.89,317.32,293.51,438.65,309.72,,,229.29,,219.93,,,,360.44,,199.15,,,,,,213.39,,,,,,399.7,,,,244.56,175.96,225.72,268.5878571428570
"Tilghman,""",20156,,145.93,631.49,1458.38,1936.62,429.19,,,404.83,,243.49,,,,218.52,,209.43,,,,,,1010.34,,,,,,337.7,,,,286.79,196.9,489.34,571.3535714285710
said,20157,,97.67,1190.43,477.35,402.92,676.4,,,150.79,,189.75,,,,543.39,,214.38,,,,,,405.99,,,,,,430.47,,,,395.55,423.22,733.82,452.2950000000000
the,20158,,169.39,276.5,271.23,324.9,237.96,,,78.45,,181.35,,,,254.53,,203.31,,,,,,346.59,,,,,,344.33,,,,525.59,182.46,225.94,258.75214285714300
"stranger,",20159,,142.37,262.64,478.7,374.99,368.21,,,168.91,,141.01,,,,899.36,,205.61,,,,,,474.02,,,,,,567.73,,,,271.35,166.14,201.57,337.32928571428600
"""and",20160,,78.12,390.19,416.59,563.67,324.91,,,141.92,,164.68,,,,359.24,,258.54,,,,,,259.89,,,,,,316.06,,,,310.87,179.13,259.84,287.4035714285710
I've,20161,,184.54,349.53,397.19,421.39,302.96,,,173.63,,318.99,,,,193.3,,215.4,,,,,,299.4,,,,,,294.2,,,,294.32,186.71,299.33,280.7778571428570
come,20162,,160.16,332.88,319.15,332.61,294.45,,,146.58,,529.11,,,,216.93,,204.31,,,,,,362.86,,,,,,306.97,,,,283.11,178.4,266.75,281.01928571428600
for,20163,,98.6,297.65,345.26,329.37,499.23,,,194.31,,205.55,,,,189.86,,230.59,,,,,,260.87,,,,,,306.42,,,,261.28,183.34,522.32,280.33214285714300
Pat,20164,,154.31,358.43,336.67,454.16,306.36,,,148.61,,439.79,,,,181.49,,214.18,,,,,,236.35,,,,,,289.87,,,,268.8,142.98,308.1,274.29285714285700
Conyers',20165,,116.6,584.45,1493.38,930.67,433.85,,,116.23,,193.75,,,,173.09,,195.09,,,,,,302.56,,,,,,318.68,,,,396.27,158.67,699.57,436.6328571428570
"body.""",20166,,287.04,487.55,304.35,358.5,683.77,,,134.7,,156.0,,,,394.11,,213.34,,,,,,374.07,,,,,,288.79,,,,422.33,161.05,490.34,339.71000000000000
"""And",20167,,110.21,501.95,347.99,362.56,305.33,,,110.08,,248.67,,,,297.08,,268.51,,,,,,207.5,,,,,,290.33,,,,300.94,221.17,320.93,278.0892857142860
what,20168,,237.91,653.04,291.32,380.57,320.84,,,117.8,,213.48,,,,181.9,,164.04,,,,,,396.38,,,,,,431.16,,,,268.41,156.71,266.97,291.46642857142900
makes,20169,,176.16,329.29,392.17,395.92,330.87,,,152.24,,202.44,,,,221.51,,206.37,,,,,,270.4,,,,,,318.38,,,,267.89,175.07,274.54,265.2321428571430
you,20170,,93.16,334.11,271.51,341.87,407.65,,,114.6,,188.72,,,,173.05,,203.31,,,,,,301.91,,,,,,296.54,,,,243.43,156.04,212.64,238.46714285714300
think,20171,,154.26,282.84,271.01,325.27,636.28,,,172.94,,180.35,,,,186.05,,205.57,,,,,,293.34,,,,,,293.28,,,,261.65,166.43,219.52,260.6278571428570
you're,20172,,116.56,348.97,246.52,375.37,429.92,,,129.93,,164.01,,,,209.68,,322.52,,,,,,210.11,,,,,,282.13,,,,397.1,419.41,211.05,275.9485714285720
going,20173,,102.96,316.34,283.4,356.0,325.15,,,118.97,,214.34,,,,246.66,,196.55,,,,,,567.08,,,,,,476.24,,,,247.13,226.64,223.97,278.6735714285710
to,20174,,110.78,294.48,293.51,334.09,375.25,,,121.43,,227.26,,,,211.47,,238.83,,,,,,227.45,,,,,,286.17,,,,251.95,162.26,215.6,239.32357142857100
get,20175,,94.56,307.24,298.35,354.83,419.93,,,131.77,,178.85,,,,312.45,,657.11,,,,,,235.04,,,,,,290.92,,,,224.81,148.6,204.51,275.6407142857140
"it,",20176,,107.68,274.74,319.12,380.87,283.22,,,448.81,,143.78,,,,186.49,,397.31,,,,,,189.24,,,,,,279.72,,,,256.44,121.54,198.77,256.2664285714290
pretty,20177,,131.34,284.88,369.22,396.16,277.32,,,141.42,,359.52,,,,234.16,,271.31,,,,,,260.89,,,,,,321.95,,,,237.25,139.99,217.07,260.1771428571430
"boy?""",20178,,72.47,321.68,413.9,654.13,279.49,,,133.08,,169.51,,,,220.4,,230.85,,,,,,276.34,,,,,,300.01,,,,231.51,203.65,206.0,265.2157142857140
"""Because",20179,,130.54,427.13,295.38,415.14,374.42,,,345.82,,190.19,,,,203.66,,240.63,,,,,,243.37,,,,,,314.98,,,,267.96,165.58,215.87,273.6192857142860
I'm,20180,,247.64,322.43,300.16,379.77,323.1,,,129.21,,261.8,,,,197.89,,234.84,,,,,,253.54,,,,,,317.03,,,,267.47,194.55,236.76,261.8707142857140
asking.,20181,,116.46,356.49,323.6,456.46,253.16,,,150.32,,165.29,,,,128.2,,261.08,,,,,,434.43,,,,,,303.13,,,,242.96,132.8,215.02,252.81428571428600
Most,20182,,163.95,307.14,309.09,340.35,254.77,,,133.77,,394.01,,,,338.26,,289.4,,,,,,254.14,,,,,,272.6,,,,324.59,300.29,256.68,281.36
of,20183,,184.89,402.62,300.56,347.76,235.57,,,194.8,,171.92,,,,198.95,,230.25,,,,,,539.03,,,,,,384.07,,,,310.66,307.76,253.51,290.1678571428570
the,20184,,112.58,300.61,227.99,307.09,261.83,,,133.03,,208.97,,,,241.28,,261.83,,,,,,346.04,,,,,,247.45,,,,246.12,219.24,226.36,238.60142857142900
time,20185,,170.94,292.02,395.53,338.59,301.36,,,146.08,,189.9,,,,163.47,,237.28,,,,,,401.52,,,,,,244.25,,,,219.0,138.79,241.99,248.62285714285700
I,20186,,191.96,320.86,229.56,343.25,212.76,,,129.77,,173.48,,,,165.81,,207.52,,,,,,331.41,,,,,,254.52,,,,255.92,135.81,228.19,227.20142857142900
get,20187,,138.24,282.93,261.12,294.7,249.68,,,142.84,,178.5,,,,130.76,,212.43,,,,,,272.21,,,,,,259.41,,,,228.78,180.88,555.76,242.01714285714300
what,20188,,105.89,341.11,212.59,315.48,302.54,,,118.52,,167.49,,,,303.81,,225.37,,,,,,223.68,,,,,,224.2,,,,364.37,156.46,589.48,260.78500000000000
I,20189,,137.73,348.54,353.55,277.57,198.0,,,121.0,,180.5,,,,183.27,,224.94,,,,,,679.26,,,,,,247.81,,,,270.38,510.84,244.52,284.13642857142900
ask,20190,,70.79,259.91,283.61,287.77,288.31,,,123.37,,156.08,,,,150.93,,200.56,,,,,,384.79,,,,,,468.69,,,,277.86,237.95,214.73,243.23928571428600
"for.""",20191,,150.55,323.4,229.74,324.59,245.11,,,101.79,,302.43,,,,150.65,,202.83,,,,,,368.17,,,,,,235.85,,,,264.02,160.17,219.65,234.21071428571400
Blue,20192,,134.01,332.92,276.61,323.42,241.51,,,90.59,,184.2,,,,197.67,,231.34,,,,,,300.29,,,,,,283.01,,,,279.04,188.82,242.7,236.15214285714300
Throat,20193,,83.12,337.72,502.8,365.52,259.73,,,95.74,,308.82,,,,103.96,,230.92,,,,,,195.69,,,,,,277.09,,,,273.23,148.48,236.87,244.26357142857100
winked,20194,,141.52,366.43,325.97,375.54,749.41,,,116.56,,196.21,,,,279.72,,438.43,,,,,,229.98,,,,,,255.3,,,,272.77,164.15,239.08,296.505
at,20195,,93.2,312.48,242.69,328.59,452.13,,,102.98,,182.49,,,,169.89,,248.39,,,,,,301.61,,,,,,308.18,,,,304.22,158.47,241.36,246.1914285714290
his,20196,,194.32,322.57,436.88,309.36,296.74,,,118.72,,182.16,,,,166.92,,189.25,,,,,,285.04,,,,,,267.59,,,,287.7,176.82,275.54,250.6864285714290
six,20197,,124.61,396.65,326.85,292.76,525.51,,,89.13,,181.82,,,,219.89,,212.85,,,,,,247.22,,,,,,219.13,,,,260.53,173.82,301.35,255.15142857142900
cronies.,20198,,238.97,454.68,283.56,361.62,553.96,,,86.28,,157.4,,,,155.42,,185.77,,,,,,332.04,,,,,,264.03,,,,291.99,186.78,252.76,271.80428571428600
"""The",20199,,139.63,453.2,277.02,517.45,242.67,,,117.75,,308.76,,,,250.5,,227.72,,,,,,328.22,,,,,,281.58,,,,266.79,151.49,264.65,273.3878571428570
kid,20200,,67.38,385.77,303.18,287.28,308.85,,,104.16,,196.17,,,,199.37,,219.29,,,,,,284.93,,,,,,451.73,,,,306.29,167.18,280.16,254.41
has,20201,,123.15,385.08,278.63,340.07,380.32,,,111.96,,182.46,,,,209.66,,226.83,,,,,,239.06,,,,,,288.3,,,,257.78,212.13,205.01,245.7457142857140
no,20202,,101.58,344.42,272.82,291.43,331.6,,,119.66,,166.13,,,,158.57,,226.4,,,,,,473.31,,,,,,341.11,,,,225.27,185.07,439.26,262.61642857142900
"manners,",20203,,133.26,367.86,240.29,344.23,424.35,,,130.07,,163.14,,,,400.96,,209.97,,,,,,499.16,,,,,,276.45,,,,408.82,200.76,249.17,289.17785714285700
boys.,20204,,106.35,316.49,298.55,415.66,327.68,,,119.12,,189.47,,,,266.9,,198.89,,,,,,407.66,,,,,,278.62,,,,309.48,179.02,222.03,259.7085714285710
Shall,20205,,113.81,336.77,228.22,291.7,270.09,,,123.98,,199.33,,,,223.22,,219.46,,,,,,414.4,,,,,,330.69,,,,241.75,164.98,253.17,243.68357142857100
we,20206,,172.15,389.52,267.81,336.56,373.55,,,126.37,,241.68,,,,150.84,,224.32,,,,,,250.96,,,,,,279.44,,,,251.9,167.35,148.63,241.5057142857140
teach,20207,,89.19,324.84,275.31,261.27,354.26,,,91.41,,275.83,,,,126.53,,215.93,,,,,,239.82,,,,,,297.64,,,,264.77,116.28,260.29,228.09785714285700
him,20208,,134.31,302.93,229.48,308.79,300.29,,,144.48,,214.0,,,,147.55,,212.83,,,,,,234.1,,,,,,286.45,,,,240.27,174.71,195.77,223.28285714285700
"some?""",20209,,99.37,286.39,453.01,356.21,369.11,,,152.21,,186.92,,,,187.25,,209.75,,,,,,228.28,,,,,,283.23,,,,242.53,147.7,283.08,248.9314285714290
His,20210,,141.51,306.56,451.66,299.04,263.85,,,122.02,,194.24,,,,245.14,,208.95,,,,,,243.37,,,,,,447.5,,,,209.53,141.75,209.94,248.93285714285700
gun,20211,,114.04,350.61,352.27,298.47,231.39,,,308.42,,204.49,,,,167.33,,189.92,,,,,,245.54,,,,,,484.08,,,,246.49,149.43,222.86,254.66714285714300
was,20212,,116.37,302.01,319.6,311.27,286.99,,,147.85,,182.75,,,,180.33,,213.52,,,,,,250.38,,,,,,269.91,,,,267.35,141.12,190.49,227.1385714285710
half,20213,,94.82,325.44,273.75,302.69,251.74,,,307.55,,158.37,,,,179.93,,186.43,,,,,,263.25,,,,,,293.39,,,,258.88,140.84,198.08,231.08285714285700
drawn,20214,,155.87,375.57,291.86,318.13,216.67,,,418.99,,144.71,,,,195.55,,186.08,,,,,,286.79,,,,,,274.21,,,,242.37,164.53,269.39,252.90857142857100
when,20215,,86.29,372.18,448.72,328.27,229.58,,,119.58,,160.47,,,,269.85,,185.71,,,,,,219.59,,,,,,292.35,,,,276.56,110.91,220.89,237.21071428571400
he,20216,,131.32,360.92,341.28,301.01,301.13,,,282.0,,178.79,,,,269.37,,233.38,,,,,,379.18,,,,,,265.17,,,,310.74,222.58,196.41,269.52
asked,20217,,96.46,266.9,284.64,300.49,252.54,,,140.18,,183.73,,,,276.85,,219.6,,,,,,1007.82,,,,,,256.68,,,,222.18,302.21,174.75,284.645
the,20218,,157.48,322.45,294.77,339.92,233.47,,,131.83,,167.43,,,,191.06,,256.53,,,,,,235.52,,,,,,261.55,,,,293.74,157.61,195.68,231.36000000000000
"question,",20219,,79.82,332.53,483.62,355.34,251.64,,,136.95,,196.37,,,,734.71,,277.36,,,,,,397.74,,,,,,301.1,,,,314.58,168.01,254.02,305.985
but,20220,,146.29,313.28,277.42,397.3,288.51,,,157.94,,206.67,,,,226.78,,215.55,,,,,,303.71,,,,,,244.51,,,,284.64,156.93,186.83,243.31142857142900
the,20221,,282.01,331.34,359.58,1055.34,253.31,,,200.28,,219.62,,,,242.4,,220.48,,,,,,311.21,,,,,,294.76,,,,430.85,167.31,45.02,315.25071428571400
weapon,20222,,180.18,328.13,425.61,546.92,298.22,,,138.62,,200.53,,,,260.62,,268.05,,,,,,230.66,,,,,,259.55,,,,270.12,156.27,199.45,268.7807142857140
never,20223,,115.77,332.83,752.92,346.02,289.62,,,146.26,,194.82,,,,620.11,,195.58,,,,,,310.22,,,,,,275.07,,,,349.61,158.6,289.73,312.6542857142860
left,20224,,102.2,305.58,367.7,441.46,278.42,,,209.95,,221.08,,,,203.09,,189.84,,,,,,285.66,,,,,,269.22,,,,245.0,296.98,240.81,261.2135714285710
its,20225,,133.96,321.04,372.35,331.32,200.64,,,150.91,,172.63,,,,309.35,,229.49,,,,,,287.82,,,,,,268.72,,,,319.2,189.78,186.98,248.15642857142900
holster.,20226,,130.98,283.16,361.06,440.07,250.87,,,182.57,,169.61,,,,284.8,,229.06,,,,,,276.61,,,,,,268.23,,,,345.29,157.37,202.66,255.88142857142900
Tilghman's,20227,,111.8,372.62,399.86,604.09,241.88,,,131.19,,179.61,,,,270.49,,206.83,,,,,,483.63,,,,,,259.25,,,,277.53,164.76,220.15,280.2635714285710
clenched,20228,,122.2,641.34,321.88,605.79,564.11,,,224.24,,275.23,,,,405.99,,203.76,,,,,,333.41,,,,,,464.08,,,,303.73,527.07,561.07,396.70714285714300
fist,20229,,116.52,466.9,395.94,487.44,333.78,,,231.87,,261.41,,,,250.58,,238.01,,,,,,666.17,,,,,,239.29,,,,519.14,251.52,250.75,336.38000000000000
swept,20230,,158.93,322.17,349.96,403.93,274.54,,,175.44,,452.88,,,,271.49,,224.23,,,,,,265.04,,,,,,313.53,,,,272.97,216.39,223.62,280.3657142857140
over,20231,,97.3,444.22,325.33,341.91,1804.69,,,204.4,,233.47,,,,230.98,,247.85,,,,,,408.61,,,,,,531.6,,,,291.08,189.31,14.86,383.2578571428570
in,20232,,129.07,326.18,335.44,365.3,1532.5,,,190.69,,187.69,,,,286.56,,260.72,,,,,,157.18,,,,,,416.11,,,,303.89,196.91,300.08,356.3085714285710
a,20233,,102.1,298.89,332.15,343.31,511.45,,,174.34,,243.36,,,,280.73,,180.22,,,,,,271.57,,,,,,292.67,,,,287.4,175.25,307.54,271.49857142857100
