word,code,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015,s016,s017,s018,s019,s020,s021,s022,s023,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,mean_rt
the,17030,359.28,,,,,,,,,302.34,140.76,,211.96,287.48,,181.6,148.33,411.66,275.68,367.57,207.92,,909.6,,,,,272.48,335.47,,,,288.68,139.01,252.33,299.53823529411800
influence,17031,305.32,,,,,,,,,181.79,108.49,,224.89,236.23,,205.21,148.03,472.33,261.89,380.23,444.84,,412.07,,,,,303.96,244.25,,,,221.51,170.66,241.24,268.4082352941180
their,17032,328.79,,,,,,,,,325.49,212.18,,248.54,302.46,,258.15,179.7,351.53,309.42,363.56,414.75,,392.74,,,,,295.46,342.42,,,,269.05,183.66,267.44,296.78470588235300
town,17033,317.55,,,,,,,,,279.54,145.11,,317.34,285.95,,222.98,139.34,470.91,244.83,557.58,523.36,,338.72,,,,,260.24,269.84,,,,236.55,191.32,234.95,296.24176470588200
has,17034,359.59,,,,,,,,,273.7,136.86,,239.44,448.09,,222.55,203.04,622.15,311.06,431.32,709.16,,391.48,,,,,267.77,261.36,,,,398.75,358.92,509.17,361.4358823529410
had,17035,337.66,,,,,,,,,163.91,173.88,,209.64,308.69,,390.18,197.31,269.08,270.53,294.61,331.96,,390.77,,,,,283.29,220.88,,,,232.78,161.02,292.28,266.3805882352940
on,17036,342.39,,,,,,,,,206.25,130.83,,222.58,332.06,,213.45,167.6,428.61,261.97,339.42,200.74,,366.1,,,,,245.47,236.41,,,,226.94,163.36,281.14,256.7835294117650
American,17037,333.76,,,,,,,,,224.47,135.91,,238.15,200.87,,202.41,332.53,651.82,293.48,282.79,403.03,,386.75,,,,,287.64,206.67,,,,226.52,149.68,291.25,285.16058823529400
military,17038,498.57,,,,,,,,,424.05,132.93,,248.43,275.15,,220.69,145.28,744.08,250.31,420.96,676.95,,442.1,,,,,292.43,203.58,,,,282.18,149.37,512.08,348.184705882353
"history,",17039,367.04,,,,,,,,,255.37,129.97,,237.24,285.32,,204.29,184.99,646.89,295.19,404.2,374.53,,460.05,,,,,225.21,285.89,,,,308.29,165.09,313.89,302.55588235294100
or,17040,323.74,,,,,,,,,700.21,103.03,,423.45,322.09,,262.5,560.61,579.15,291.96,406.19,419.27,,411.2,,,,,224.8,248.03,,,,259.74,471.45,275.92,369.60823529411800
the,17041,325.82,,,,,,,,,256.42,110.84,,238.72,340.2,,190.07,146.35,287.53,272.83,282.8,351.85,,391.85,,,,,200.4,236.85,,,,259.26,262.58,270.13,260.2647058823530
deeds,17042,282.56,,,,,,,,,237.23,118.53,,208.95,403.58,,181.7,138.08,244.32,266.93,309.02,343.19,,383.15,,,,,250.64,215.12,,,,264.09,166.1,229.64,249.57823529411800
of,17043,332.69,,,,,,,,,239.45,120.98,,229.93,293.52,,237.29,391.12,446.58,250.44,364.41,262.59,,358.48,,,,,199.52,236.0,,,,255.65,275.14,445.21,290.52941176470600
valor,17044,353.48,,,,,,,,,201.71,139.4,,245.5,266.31,,183.51,150.47,296.44,279.31,326.47,254.15,,392.56,,,,,185.8,246.24,,,,244.49,189.29,223.08,245.77705882352900
that,17045,243.51,,,,,,,,,267.98,128.45,,231.68,313.9,,175.16,150.16,725.27,273.49,363.22,315.01,,354.51,,,,,201.48,211.08,,,,262.67,148.91,230.71,270.4229411764710
have,17046,320.33,,,,,,,,,203.49,109.48,,239.24,219.99,,220.15,125.84,326.75,267.67,317.2,293.06,,332.51,,,,,257.06,272.04,,,,238.19,252.57,214.28,247.63823529411800
been,17047,354.44,,,,,,,,,229.8,141.22,,257.51,171.49,,187.75,154.88,339.53,275.14,495.35,409.85,,329.26,,,,,277.86,239.51,,,,272.45,217.51,259.19,271.3376470588240
done,17048,372.46,,,,,,,,,229.33,140.94,,273.0,512.55,,195.38,189.23,554.86,269.34,339.85,438.49,,334.08,,,,,312.06,249.74,,,,311.95,190.41,512.06,319.1605882352940
in,17049,353.18,,,,,,,,,196.88,364.59,,224.47,303.63,,173.6,308.87,348.63,268.84,331.19,216.45,,354.77,,,,,279.47,230.66,,,,279.37,198.0,359.16,281.8682352941180
its,17050,251.18,,,,,,,,,191.22,158.62,,232.08,279.09,,202.62,172.28,331.97,260.36,279.92,221.38,,364.83,,,,,241.66,254.22,,,,265.51,256.34,209.21,245.44058823529400
name.,17051,304.04,,,,,,,,,342.81,128.97,,202.32,265.24,,196.88,137.3,256.76,259.87,306.09,204.95,,342.81,,,,,227.89,227.03,,,,273.09,205.17,190.17,239.4935294117650
The,17052,455.04,,,,,,,,,1082.9,123.1,,228.17,196.22,,166.83,160.7,314.48,277.48,390.12,220.02,,319.56,,,,,258.98,252.83,,,,298.74,151.1,216.1,300.72764705882400
cry,17053,331.58,,,,,,,,,403.84,141.49,,235.68,182.5,,187.81,323.05,276.53,383.65,285.47,211.55,,385.68,,,,,239.81,369.68,,,,263.51,222.74,229.01,274.91647058823500
"""Garryowen!""",17054,616.36,,,,,,,,,285.81,133.15,,253.96,238.12,,355.41,149.14,1862.7,247.03,594.26,1424.47,,1057.05,,,,,218.05,286.42,,,,279.01,166.37,220.58,493.40529411764700
Bursting,17055,356.62,,,,,,,,,871.98,322.25,,706.78,1288.41,,221.47,196.78,691.72,603.84,555.9,1470.23,,604.7,,,,,1487.01,520.53,,,,609.23,195.36,1572.1,722.0535294117650
from,17056,502.69,,,,,,,,,422.52,140.34,,249.62,323.66,,205.07,543.06,279.93,277.52,549.65,259.95,,366.36,,,,,295.3,306.33,,,,309.53,573.57,462.97,356.94529411764700
the,17057,413.8,,,,,,,,,229.86,155.99,,254.53,245.81,,247.34,166.18,242.13,279.68,548.74,187.44,,296.39,,,,,332.08,281.82,,,,276.94,162.03,326.22,273.3517647058820
lips,17058,314.46,,,,,,,,,541.41,118.33,,235.33,263.94,,180.22,123.17,252.3,249.83,531.79,363.07,,197.15,,,,,184.83,235.94,,,,223.09,196.3,298.97,265.3017647058820
of,17059,292.52,,,,,,,,,284.49,144.73,,245.59,263.44,,203.86,117.54,345.18,246.75,392.26,221.16,,311.5,,,,,216.51,222.21,,,,238.68,270.62,287.77,253.22411764705900
a,17060,345.32,,,,,,,,,286.67,144.43,,263.78,406.99,,222.07,175.99,248.54,267.61,314.25,204.71,,190.88,,,,,245.43,253.73,,,,240.93,174.12,220.57,247.41294117647100
charging,17061,352.76,,,,,,,,,251.41,160.13,,255.35,259.65,,181.68,172.93,541.47,251.07,876.36,398.93,,198.5,,,,,223.59,226.58,,,,235.15,195.11,444.15,307.3423529411760
cavalry,17062,338.79,,,,,,,,,256.34,154.52,,300.2,243.13,,213.29,105.93,404.54,303.94,413.54,232.93,,472.84,,,,,431.21,250.15,,,,381.37,989.42,398.01,346.47941176470600
trooper,17063,359.49,,,,,,,,,213.16,140.84,,243.67,397.3,,210.21,169.66,374.52,287.43,394.22,392.5,,210.63,,,,,326.5,255.08,,,,364.71,203.82,696.05,308.2229411764710
was,17064,497.6,,,,,,,,,282.13,124.56,,317.83,351.35,,215.18,134.71,387.15,276.2,364.16,207.83,,327.6,,,,,315.25,243.94,,,,302.71,222.05,380.23,291.2047058823530
the,17065,286.06,,,,,,,,,260.29,126.94,,255.96,374.73,,180.1,187.76,290.48,278.34,358.18,188.78,,308.36,,,,,285.33,254.14,,,,310.18,221.7,504.86,274.8347058823530
last,17066,304.18,,,,,,,,,243.78,155.95,,260.79,187.42,,187.77,187.39,255.34,256.56,336.25,228.42,,227.79,,,,,258.12,226.99,,,,277.59,325.23,224.01,243.74
sound,17067,295.7,,,,,,,,,270.01,134.35,,268.31,235.03,,195.36,346.98,220.2,269.41,332.95,228.02,,331.34,,,,,238.94,210.55,,,,263.75,191.36,359.58,258.3435294117650
heard,17068,284.49,,,,,,,,,277.48,139.37,,251.81,229.24,,181.66,162.42,331.74,284.92,337.75,459.53,,208.11,,,,,265.16,207.52,,,,263.27,158.92,209.61,250.1764705882350
on,17069,310.65,,,,,,,,,215.69,184.39,,272.74,220.84,,173.24,172.71,520.47,289.69,366.49,530.74,,277.01,,,,,288.76,244.42,,,,254.8,145.28,430.6,288.1482352941180
this,17070,286.11,,,,,,,,,268.59,160.05,,280.19,172.35,,194.26,161.74,266.25,262.48,328.53,783.17,,199.16,,,,,245.5,294.64,,,,235.64,168.96,357.8,274.4364705882350
earth,17071,320.2,,,,,,,,,236.08,114.4,,250.35,233.41,,180.55,132.02,353.82,310.01,789.25,333.9,,401.49,,,,,242.38,419.48,,,,237.85,166.0,319.84,296.53117647058800
by,17072,306.31,,,,,,,,,382.29,172.77,,255.27,323.62,,164.18,209.07,259.86,261.48,395.94,274.65,,267.46,,,,,244.62,264.03,,,,240.07,154.99,354.0,266.50647058823500
untold,17073,321.79,,,,,,,,,389.68,153.79,,276.08,229.72,,350.53,118.0,283.37,581.01,349.96,220.82,,290.92,,,,,254.81,199.56,,,,250.3,165.32,475.97,288.9194117647060
numbers,17074,307.9,,,,,,,,,301.01,116.09,,262.23,437.23,,365.9,176.43,773.47,244.04,421.33,428.4,,447.76,,,,,235.65,217.91,,,,303.17,146.26,333.82,324.62352941176500
of,17075,315.36,,,,,,,,,276.39,142.5,,317.74,295.18,,247.97,245.43,481.55,334.25,364.58,291.61,,324.32,,,,,365.94,238.77,,,,302.62,337.99,410.56,311.33882352941200
"Cheyennes,",17076,677.39,,,,,,,,,246.56,150.25,,263.83,227.99,,428.84,170.25,267.45,299.0,385.24,232.42,,270.44,,,,,287.93,313.01,,,,278.06,174.76,231.24,288.5094117647060
Sioux,17077,318.96,,,,,,,,,363.48,149.92,,639.34,891.53,,428.1,183.25,706.91,295.8,752.64,682.7,,989.93,,,,,212.72,259.12,,,,648.27,187.75,790.79,500.07117647058800
and,17078,393.09,,,,,,,,,317.49,133.59,,328.98,383.4,,259.35,94.92,393.78,332.55,375.4,436.2,,1092.32,,,,,321.68,218.65,,,,324.53,443.35,333.49,363.6923529411770
"Apaches,",17079,355.06,,,,,,,,,327.61,146.64,,269.74,630.79,,248.23,180.06,587.78,297.35,732.04,614.09,,551.93,,,,,339.78,186.16,,,,286.6,325.29,362.27,378.90705882352900
Mexican,17080,709.08,,,,,,,,,252.29,170.33,,413.21,317.69,,389.08,171.62,282.79,294.16,384.17,442.45,,398.98,,,,,216.54,209.78,,,,1123.43,311.4,332.26,377.6035294117650
banditos,17081,315.89,,,,,,,,,273.22,135.35,,329.84,335.85,,420.42,128.67,324.95,274.93,423.49,580.38,,368.98,,,,,237.4,238.71,,,,388.3,230.84,649.06,332.7223529411770
under,17082,526.02,,,,,,,,,528.71,76.37,,302.63,460.58,,291.63,141.71,535.05,349.11,390.77,427.35,,357.65,,,,,879.61,688.98,,,,491.58,294.4,389.31,419.49764705882400
Pancho,17083,815.79,,,,,,,,,261.16,150.85,,478.03,299.78,,272.5,205.41,323.49,316.46,414.15,290.61,,343.67,,,,,656.93,413.14,,,,296.13,251.18,340.61,360.5817647058820
"Villa,",17084,475.86,,,,,,,,,308.63,118.51,,351.92,403.25,,263.96,170.28,581.58,214.6,586.7,439.44,,335.11,,,,,277.1,257.8,,,,492.88,280.02,444.03,353.03941176470600
Japanese,17085,1349.67,,,,,,,,,276.09,168.94,,271.33,445.21,,359.46,263.27,580.6,355.52,585.73,425.32,,347.83,,,,,351.31,350.66,,,,553.41,226.17,397.88,429.90588235294100
in,17086,368.29,,,,,,,,,245.68,287.61,,262.16,318.48,,296.88,134.22,266.78,279.6,391.88,247.89,,335.91,,,,,229.9,256.28,,,,325.08,318.56,303.12,286.37176470588200
the,17087,324.99,,,,,,,,,210.48,124.41,,301.69,248.59,,229.67,179.27,266.29,265.75,351.23,244.81,,300.66,,,,,205.49,221.16,,,,247.18,192.68,646.61,268.2917647058820
South,17088,335.07,,,,,,,,,247.45,110.84,,245.19,229.49,,213.2,162.88,217.86,297.33,390.6,287.0,,364.1,,,,,199.72,204.72,,,,204.04,168.32,218.91,240.98352941176500
"Pacific,",17089,707.78,,,,,,,,,244.3,134.57,,431.42,437.0,,202.18,173.19,222.74,310.11,373.88,203.78,,382.13,,,,,218.06,214.97,,,,470.32,141.31,194.44,297.7752941176470
and,17090,306.6,,,,,,,,,270.53,259.62,,302.62,398.93,,236.41,146.17,782.36,269.57,370.58,966.1,,437.43,,,,,438.92,227.89,,,,277.47,156.97,268.74,359.81823529411800
Chinese,17091,330.06,,,,,,,,,262.0,155.13,,278.06,1888.93,,214.69,169.87,261.06,277.04,327.28,255.21,,623.33,,,,,192.85,219.48,,,,1135.7,159.31,268.24,412.8376470588240
and,17092,406.84,,,,,,,,,293.51,197.44,,288.3,227.32,,251.55,174.9,316.51,279.2,388.06,276.01,,302.36,,,,,544.41,216.4,,,,259.2,177.71,267.76,286.32235294117600
North,17093,1115.46,,,,,,,,,194.38,159.71,,293.03,330.83,,256.44,179.87,454.7,289.35,371.33,206.23,,389.79,,,,,239.51,221.32,,,,312.1,182.68,267.28,321.4123529411770
Korean,17094,372.3,,,,,,,,,244.67,170.05,,401.87,239.57,,229.32,163.53,315.23,230.2,384.0,240.47,,477.09,,,,,297.77,236.85,,,,359.46,190.32,242.79,282.08764705882300
Communists,17095,441.02,,,,,,,,,286.87,151.11,,323.84,369.79,,220.92,165.87,301.36,317.74,359.34,210.68,,390.99,,,,,350.55,207.12,,,,433.56,189.96,356.94,298.68588235294100
in,17096,370.9,,,,,,,,,251.62,142.74,,349.94,294.53,,212.42,146.81,292.74,271.87,465.36,271.64,,326.3,,,,,285.98,412.05,,,,432.82,301.6,431.02,309.43176470588200
Korea.,17097,335.64,,,,,,,,,264.49,142.43,,285.36,259.31,,441.39,362.53,593.59,263.34,704.57,223.11,,411.02,,,,,232.09,232.63,,,,640.04,189.04,462.26,355.46117647058800
Garryowen,17098,449.07,,,,,,,,,268.86,163.21,,294.87,244.87,,221.6,609.26,809.87,283.69,307.95,275.44,,396.37,,,,,244.19,263.71,,,,526.51,217.36,439.32,353.89117647058800
is,17099,317.63,,,,,,,,,236.32,149.57,,459.7,2511.1,,269.18,509.59,845.91,269.85,2371.39,493.52,,334.38,,,,,526.39,455.27,,,,328.29,214.32,1489.28,693.0405882352940
the,17100,559.71,,,,,,,,,214.59,133.22,,360.2,459.19,,228.65,468.71,303.2,301.36,365.04,282.11,,323.12,,,,,466.79,283.84,,,,365.02,203.21,292.2,330.0094117647060
battle,17101,329.45,,,,,,,,,267.51,330.27,,290.24,226.34,,212.2,171.89,246.68,292.78,767.06,284.23,,405.25,,,,,282.06,277.96,,,,287.07,229.5,209.03,300.56000000000000
cry,17102,318.19,,,,,,,,,243.0,167.04,,287.08,273.95,,217.17,168.88,347.55,313.64,443.11,278.34,,375.19,,,,,228.19,224.13,,,,315.82,197.0,293.96,276.01411764705900
of,17103,304.29,,,,,,,,,253.18,196.0,,267.91,252.08,,214.11,165.89,362.94,275.71,325.01,304.51,,315.86,,,,,427.77,247.73,,,,285.97,191.31,298.79,275.82705882352900
